"Repo","Label","Issue Number","Title","Status"
"AMO-Tools-Desktop","Analytics","7113","MEASUR: Analytics Part 2","OPEN"
"AMO-Tools-Desktop","Analytics","6583","Enhanced Analytics Events","CLOSED"
"AMO-Tools-Desktop","Analytics","6176","Analytics: send whether user is from web or desktop","CLOSED"
"AMO-Tools-Desktop","Analytics","6077","Setup analytics endpoint in weather server repo","CLOSED"
"AMO-Tools-Desktop","Analytics","6070","Set Server Environment var for analytics secret ","CLOSED"
"AMO-Tools-Desktop","Analytics","6017","Add Page view analytics for Electron desktop ","CLOSED"
"AMO-Tools-Desktop","Analytics","6016","Analytics (Desktop) ","CLOSED"
"AMO-Tools-Desktop","Application","7185","Version 1.5.5 Release notes and version update","OPEN"
"AMO-Tools-Desktop","Application","7184","User survey reminder if not taken by next update","OPEN"
"AMO-Tools-Desktop","Application","7177","Update existing toasts with style","OPEN"
"AMO-Tools-Desktop","Application","7174","Notify user: Reset settings will affect auto backup","OPEN"
"AMO-Tools-Desktop","Application","7166","Rebuild zenhub stats","OPEN"
"AMO-Tools-Desktop","Application","7140","User Survey Spam filtering / Captcha","OPEN"
"AMO-Tools-Desktop","Application","7137","V1.5.4 Release Notes","CLOSED"
"AMO-Tools-Desktop","Application","7114","User Survey Backend","OPEN"
"AMO-Tools-Desktop","Application","7113","MEASUR: Analytics Part 2","OPEN"
"AMO-Tools-Desktop","Application","7106","User Survey Front end","OPEN"
"AMO-Tools-Desktop","Application","7091","Additional Acknowledgements","CLOSED"
"AMO-Tools-Desktop","Application","7080","Assessments in folders pull zip code for emissions factors","OPEN"
"AMO-Tools-Desktop","Application","7079","MEASUR v1.5.6","OPEN"
"AMO-Tools-Desktop","Application","7078","MEASUR v1.5.5","OPEN"
"AMO-Tools-Desktop","Application","7077","MEASUR v1.5.4","CLOSED"
"AMO-Tools-Desktop","Application","7076","React and Angular shared libraries","OPEN"
"AMO-Tools-Desktop","Application","7075","add recommended citation to about","CLOSED"
"AMO-Tools-Desktop","Application","7049","MEASUR: 1.5.3 Release","CLOSED"
"AMO-Tools-Desktop","Application","6980","MEASUR 1.5.2 release notes and version","CLOSED"
"AMO-Tools-Desktop","Application","6975","Calculator Db","OPEN"
"AMO-Tools-Desktop","Application","6974","Suite Release notes 1.0.5","CLOSED"
"AMO-Tools-Desktop","Application","6965","Backups and shared files","OPEN"
"AMO-Tools-Desktop","Application","6948","Upgrade to Angular 18 and Fix Electron debugging","CLOSED"
"AMO-Tools-Desktop","Application","6924","Add info about data storage to About page","CLOSED"
"AMO-Tools-Desktop","Application","6886","MEASUR Directory / File system Opportunities","OPEN"
"AMO-Tools-Desktop","Application","6847","Hover text for top bar navigation icons","OPEN"
"AMO-Tools-Desktop","Application","6846","Improved Calculator Navigation","OPEN"
"AMO-Tools-Desktop","Application","6767","MEASUR Error Logging","OPEN"
"AMO-Tools-Desktop","Application","6763","Energy Cost data defaults set by folder bug","CLOSED"
"AMO-Tools-Desktop","Application","6750","MEASUR: 1.5.0","CLOSED"
"AMO-Tools-Desktop","Application","6734","MEASUR PWA: Updates and caching","CLOSED"
"AMO-Tools-Desktop","Application","6724","Adjustable/Collapsible Results Panels","OPEN"
"AMO-Tools-Desktop","Application","6721","Send analytics event on send email attachment feature","CLOSED"
"AMO-Tools-Desktop","Application","6707","User bug related to Edge","CLOSED"
"AMO-Tools-Desktop","Application","6704","Electron build debugging broken","OPEN"
"AMO-Tools-Desktop","Application","6696","Add Email assessment link to assessment banners","CLOSED"
"AMO-Tools-Desktop","Application","6683","Make commit ID accessible to dev server build","CLOSED"
"AMO-Tools-Desktop","Application","6581","Sankey render algorithm improvement","OPEN"
"AMO-Tools-Desktop","Application","6571","Firefox scrollbars","OPEN"
"AMO-Tools-Desktop","Application","6555","Copy Folder functionality","CLOSED"
