Pressure,Temperature,c_p,c_v,Density,Enthalpy,Factor_Compressibility
0,-50,0.2403722,0.1710857,0.0969829,97.7899758,0.9983887
0,-40,0.2403416,0.1710955,0.094657,100.1931765,0.9985467
0,-30,0.2403178,0.1711088,0.0924406,102.5961289,0.9986909
0,-20,0.2403005,0.1711257,0.0903262,104.9988978,0.9988226
0,-10,0.2402896,0.1711464,0.0883068,107.4015458,0.9989432
0,0,0.2402848,0.1711708,0.0863762,109.804134,0.9990537
0,10,0.2402861,0.1711992,0.0845285,112.2067222,0.9991552
0,20,0.2402935,0.1712317,0.0827586,114.6093695,0.9992485
0,30,0.2403067,0.1712684,0.0810615,117.0121344,0.9993343
0,40,0.2403259,0.1713094,0.0794329,119.4150754,0.9994135
0,50,0.240351,0.1713548,0.0778687,121.8182508,0.9994865
0,60,0.2403821,0.1714049,0.0763651,124.221719,0.999554
0,70,0.2404191,0.1714598,0.0749187,126.6255387,0.9996164
0,80,0.2404621,0.1715195,0.0735262,129.0297688,0.9996742
0,90,0.2405111,0.1715842,0.0721847,131.4344689,0.9997277
0,100,0.2405662,0.171654,0.0708914,133.8396986,0.9997773
0,110,0.2406274,0.171729,0.0696438,136.2455181,0.9998234
0,120,0.2406947,0.1718094,0.0684394,138.6519882,0.9998662
0,130,0.2407682,0.1718952,0.0672761,141.0591699,0.999906
0,140,0.2408479,0.1719865,0.0661518,143.4671246,0.999943
0,150,0.2409338,0.1720834,0.0650645,145.8759142,0.9999774
0,160,0.241026,0.172186,0.0640124,148.2856007,1.0000095
0,170,0.2411245,0.1722944,0.062994,150.6962465,1.0000393
0,180,0.2412292,0.1724085,0.0620074,153.1079141,1.0000672
0,190,0.2413403,0.1725284,0.0610514,155.5206662,1.0000932
0,200,0.2414577,0.1726541,0.0601245,157.9345654,1.0001174
0,210,0.2415813,0.1727858,0.0592253,160.3496746,1.0001401
0,220,0.2417112,0.1729233,0.0583527,162.7660562,1.0001612
0,230,0.2418474,0.1730667,0.0575055,165.1837726,1.0001809
0,240,0.2419898,0.173216,0.0566825,167.6028862,1.0001993
0,250,0.2421384,0.1733712,0.0558828,170.0234586,1.0002166
0,260,0.2422931,0.1735322,0.0551054,172.4455514,1.0002327
0,270,0.2424539,0.173699,0.0543494,174.8692254,1.0002477
0,280,0.2426208,0.1738715,0.0536139,177.2945412,1.0002618
0,290,0.2427936,0.1740498,0.052898,179.7215586,1.0002749
0,300,0.2429723,0.1742337,0.0522011,182.1503366,1.0002872
0,310,0.2431568,0.1744232,0.0515222,184.5809336,1.0002987
0,320,0.243347,0.1746182,0.0508609,187.0134071,1.0003094
0,330,0.2435428,0.1748187,0.0502163,189.4478138,1.0003194
0,340,0.2437442,0.1750245,0.0495879,191.8842095,1.0003288
0,350,0.243951,0.1752355,0.048975,194.3226487,1.0003375
0,360,0.2441632,0.1754517,0.0483771,196.7631853,1.0003457
0,370,0.2443805,0.1756729,0.0477936,199.2058718,1.0003533
0,380,0.244603,0.1758991,0.0472241,201.6507596,1.0003604
0,390,0.2448304,0.1761302,0.046668,204.0978991,1.0003671
0,400,0.2450627,0.1763659,0.0461249,206.5473392,1.0003732
0,410,0.2452997,0.1766062,0.0455942,208.999128,1.000379
0,420,0.2455413,0.176851,0.0450757,211.4533117,1.0003843
0,430,0.2457874,0.1771002,0.0445688,213.9099359,1.0003893
0,440,0.2460378,0.1773536,0.0440732,216.3690442,1.0003939
0,450,0.2462924,0.177611,0.0435885,218.8306794,1.0003982
0,460,0.246551,0.1778724,0.0431144,221.2948827,1.0004022
0,470,0.2468136,0.1781377,0.0426505,223.7616938,1.0004058
0,480,0.24708,0.1784066,0.0421965,226.2311513,1.0004092
0,490,0.24735,0.1786791,0.041752,228.7032923,1.0004123
0,500,0.2476235,0.178955,0.0413168,231.1781523,1.0004152
