IDCompLib,IDCompType,Model,HP,RatedCapacity,RatedPressure,MaxFullFlowPressure,IDControlType,UnloadPoint,MinULSumpPressure,BlowdownTime,UnloadSteps,ModulatingPressRange,PowerFLBHP,TotPackageInputPower,SpecPackagePower,NoLoadPowerFM,NoLoadPowerUL,MaxSurgePressure,MaxPressSurgeFlow,MinStonewallPressure,MinPressStonewallFlow,DesignSurgeFlow,DesignInTemp,DesignInPressure,AmpsFL,EffFL
1,1,5 hp/3.7 kW,5,18,100,110,1,50,15,40,2,5,5.300000191,4.599999905,25.89999962,65,50,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
2,1,5 hp/3.7 kW,5,19,100,100,2,50,15,40,2,20,5.5,4.800000191,25.89999962,65,50,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
3,1,5 hp/3.7 kW,5,19,100,100,3,40,15,40,2,16.66699982,5.5,4.800000191,25.89999962,57,50,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
4,1,5 hp/3.7 kW,5,18,100,110,4,100,15,40,2,-9999,5.300000191,4.599999905,25.89999962,-9999,50,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
6,1,5 hp/3.7 kW,5,18,125,135,1,50,15,40,2,5,5.300000191,4.599999905,26.29999924,65,45,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
7,1,5 hp/3.7 kW,5,18,125,125,2,50,15,40,2,20,5.5,4.800000191,26.29999924,65,45,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
8,1,5 hp/3.7 kW,5,18,125,125,3,40,15,40,2,16.66699982,5.5,4.800000191,26.29999924,57,45,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
9,1,5 hp/3.7 kW,5,18,125,135,4,100,15,40,2,-9999,5.300000191,4.599999905,26.29999924,-9999,45,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
11,1,5 hp/3.7 kW,5,12,175,185,1,50,15,40,2,5,5.300000191,4.599999905,37.09999847,65,36,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
12,1,5 hp/3.7 kW,5,13,175,175,2,50,15,40,2,20,5.5,4.800000191,37.09999847,65,36,-9999,-9999,-9999,-9999,-9999,68,14.5,7.5,85
