DateTime,Compressor A1 (kW),Compressor B1 (kW),Compressor C 1(kW),Compressor D1 (kW),Compressor A2 (kW),Compressor B2 (kW),Compressor C2 (kW),Compressor D2 (kW),Pressure (psig)
5/1/2022 5:00,165.8,282.7,364.8,399.5,143.8,273.9,421.6,417,83.503
5/1/2022 5:01,176,291.7,366.9,410.6,141.6,280.1,433,394.6,82.368
5/1/2022 5:01,168.5,282.5,370.7,415.8,135.7,273.9,420.8,392.3,82.936
5/1/2022 5:02,171.8,286.9,357.2,408.1,144.8,281.3,428.7,384.5,83.377
5/1/2022 5:03,175.7,291.9,367.6,510.7,144.4,279.3,419.3,390.1,83.503
5/1/2022 5:04,173,285.5,365.4,425.2,137.3,279,407.3,388.3,84.008
5/1/2022 5:05,177.6,286.9,357.8,415,147.2,280.2,409.6,395.7,83.819
5/1/2022 5:06,171.9,302.5,374.1,459.1,137,273.5,408.8,483.4,84.008
5/1/2022 5:07,176.2,306,363.9,412,155.1,276,409.6,384.8,83.63
5/1/2022 5:08,175.6,306,368.7,407.5,148.9,274,422.6,409.8,83.567
5/1/2022 5:09,166.8,285.1,356.4,437.6,132.1,273.9,401.7,409.3,83.882
5/1/2022 5:10,181.8,281.7,355.8,415.5,146,279.9,408.6,390.7,83.567
5/1/2022 5:11,171.4,274.7,366.6,418.1,146.5,279.9,401.7,387.6,83.63
5/1/2022 5:12,172.9,274.6,363.7,411.8,143.3,274,399.2,392.6,83.567
5/1/2022 5:13,173.5,274.6,355.7,411.5,140.2,278.6,402.8,446.9,83.567
5/1/2022 5:14,177.7,284.2,359.2,419.4,151.7,281.8,405.3,402,83.756
5/1/2022 5:15,165.8,281.7,362.1,421.6,136.2,274.3,400.9,396.3,83.819
5/1/2022 5:16,178.3,287.8,363.8,408.7,157.4,290.4,410.7,392.6,83.882
5/1/2022 5:17,171.4,279.4,358.7,413.7,138.9,283.5,417.9,397.2,83.567
5/1/2022 5:18,167.9,290.7,361.5,410.7,134.3,273.6,417.6,446.9,83.63
5/1/2022 5:19,167,290.2,357.1,441.4,142,274.7,418.5,399.2,83.314
5/1/2022 5:20,170.2,289.2,359.6,410.5,135.2,270.8,413.6,394.4,82.747
5/1/2022 5:21,181,290.1,365.2,406.9,151.8,271.4,401.1,389.6,82.683
5/1/2022 5:22,176.9,298.9,361.7,406.5,145.6,279.6,404.7,394.9,82.62
5/1/2022 5:23,161.3,309.2,370.6,411.3,129.1,273,406.5,399.8,82.81
5/1/2022 5:24,168.4,314.6,368.1,414,130,274.4,404.6,393.6,82.368
5/1/2022 5:25,161,302.3,367.9,406.2,129.8,277,402.9,457.6,82.683
5/1/2022 5:26,159.6,286.1,370.5,421.9,139.3,276.3,405.3,386.9,82.81
5/1/2022 5:27,161.4,280.1,374.4,407.2,123.4,270.3,404.2,397.9,82.431
5/1/2022 5:28,164.5,285.8,379.8,409.6,135.3,277.8,402.2,392.8,82.81
5/1/2022 5:29,160.8,287.5,377.9,429.3,136.7,284,404.7,392.6,82.62
5/1/2022 5:30,165.2,281.2,372.8,407.6,126.4,266.4,409.1,397.8,82.81
5/1/2022 5:31,159.9,280.7,370.5,407.4,127.1,274.1,407.6,413.6,82.305
5/1/2022 5:32,168.2,285,391.7,444.9,128.4,279.3,426,403.1,82.116
5/1/2022 5:33,163.8,285.2,399.2,410,124.7,274.9,406.6,395,82.431
5/1/2022 5:34,165.2,281.3,382.8,412.6,128.9,276,435.6,395.7,82.936
5/1/2022 5:35,163.6,285.4,377.6,408,126.5,279.3,422.5,398.8,83.188
5/1/2022 5:36,156.1,281.6,376.3,398.3,125.9,271.1,424.2,395.2,83.819
5/1/2022 5:37,163.3,278.6,371.1,406.9,125.7,272.5,450.7,389.9,83.503
5/1/2022 5:38,167.7,283.4,374.3,406.3,132.7,278.8,468.9,400.6,83.63
5/1/2022 5:39,160.5,289.1,371.9,408.8,132.3,281.2,486.5,400.8,83.819
5/1/2022 5:40,171.9,290.3,366.4,420.3,142.7,267.8,480,388.1,84.008
5/1/2022 5:41,165.8,291.3,364.5,415.9,128.2,269.9,464.6,392.1,84.26
5/1/2022 5:42,167,276.6,363.5,410.2,140.3,281,457.9,393.5,84.071
5/1/2022 5:43,160.6,277.6,359.6,405.5,123.5,290.4,421.8,392.2,83.756
5/1/2022 5:44,159.9,284.9,370.3,408.2,123.3,280.2,430,397,83.377
