ZIP (character),ZIP (numeric),state,eGRID Subregion #1,eGRID Subregion #2,eGRID Subregion #3,,,,,
00000,00000,US,U.S. Average,,,,,,,
00002,2,AK,AKMS,,,,,,,
00006,6,AK,AKGD,,,,,,,
00007,7,AK,AKMS,,,,,,,
00010,10,AK,AKMS,,,,,,,
00011,11,AK,AKGD,,,,,,,
00012,12,CA,CAMX,,,,,,,
00014,14,AZ,AZNM,,,,,,,
00015,15,AZ,AZNM,,,,,,,
00016,16,CA,CAMX,,,,,,,
00017,17,CA,CAMX,,,,,,,
00018,18,CA,CAMX,,,,,,,
00019,19,CA,CAMX,NWPP,,,,,,
00020,20,CA,CAMX,,,,,,,
00022,22,CA,CAMX,,,,,,,
00026,26,CA,CAMX,,,,,,,
00027,27,CO,RMPA,,,,,,,
00028,28,CA,CAMX,,,,,,,
00029,29,CA,CAMX,,,,,,,
00031,31,CA,CAMX,,,,,,,
00032,32,CA,CAMX,,,,,,,
00033,33,CA,CAMX,NWPP,,,,,,
00034,34,CA,NWPP,,,,,,,
00035,35,CA,NWPP,,,,,,,
00037,37,CA,CAMX,,,,,,,
00038,38,CA,CAMX,,,,,,,
00039,39,CA,CAMX,,,,,,,
00040,40,CA,CAMX,,,,,,,
00041,41,FL,FRCC,,,,,,,
00042,42,FL,FRCC,,,,,,,
00043,43,FL,FRCC,,,,,,,
00044,44,CA,CAMX,,,,,,,
00045,45,FL,FRCC,,,,,,,
00047,47,CA,CAMX,,,,,,,
00048,48,CA,CAMX,,,,,,,
00049,49,CA,NWPP,,,,,,,
00050,50,CA,CAMX,,,,,,,
00051,51,CA,CAMX,,,,,,,
00052,52,CA,CAMX,,,,,,,
00053,53,FL,FRCC,,,,,,,
00054,54,CA,CAMX,,,,,,,
00055,55,CA,CAMX,,,,,,,
00056,56,ID,NWPP,,,,,,,
00058,58,CA,CAMX,,,,,,,
00059,59,MN,MROW,,,,,,,
00060,60,MN,MROW,,,,,,,
00063,63,MT,NWPP,,,,,,,
00064,64,NM,AZNM,,,,,,,
00065,65,CA,CAMX,,,,,,,
00066,66,NM,AZNM,,,,,,,
00067,67,OK,SPSO,,,,,,,
00068,68,OR,NWPP,,,,,,,
00069,69,OR,NWPP,,,,,,,
00070,70,OR,NWPP,,,,,,,
00071,71,UT,NWPP,,,,,,,
00072,72,WA,NWPP,,,,,,,
00073,73,WA,NWPP,,,,,,,
00074,74,WA,NWPP,,,,,,,
00076,76,WA,NWPP,,,,,,,
00077,77,OR,NWPP,,,,,,,
00084,84,NC,SRVC,,,,,,,
00087,87,FL,FRCC,,,,,,,
00097,97,FL,FRCC,,,,,,,
00098,98,FL,FRCC,,,,,,,
00100,100,UT,NWPP,,,,,,,
00116,116,LA,SRMV,,,,,,,
00119,119,LA,SRMV,,,,,,,
00120,120,LA,SRMV,,,,,,,
00121,121,LA,SRMV,,,,,,,
00127,127,ME,NEWE,,,,,,,
00130,130,ME,NEWE,,,,,,,
00134,134,ME,NEWE,,,,,,,
